Ano,Educacao_Basica,Educacao_Infantil,Ensino_Fundamental_Inicial,Ensino_Fundamental_Final,Ensino_Medio,Educacao_Superior
2000,79.9,8.4,32.2,26.2,13.2,20.1
2001,80.4,7.8,30.1,27,15.4,19.6
2002,79.6,7.4,34.7,26.9,10.6,20.4
2003,80.6,8.5,33.2,26.5,12.3,19.4
2004,81.7,8.9,34.2,27.4,11.2,18.3
2005,80.8,8.2,33.9,27.6,11.1,19.2
2006,83.3,7.5,32,30.7,13.1,16.7
2007,83.2,7.9,31.9,29.9,13.5,16.8
2008,84.1,7.6,31.9,30.7,13.9,15.9
2009,83.8,7,32.3,31,13.5,16.2
2010,83.6,7.6,31.3,29.7,14.9,16.4
2011,82.4,8.7,29,27.3,17.4,17.6
2012,82.7,10,28.6,25.9,18.2,17.3
2013,81.8,10.5,27.4,25.5,18.5,18.2
2014,80.7,10.8,26.8,24.3,18.8,19.3
2015,78.5,11.6,25.6,23,18.4,21.5
2016,78.1,11.7,25.7,22,18.7,21.9
2017,76,11.2,24.9,21,18.8,24
2018,77.4,12.3,25.2,21.3,18.6,22.6
2019,77.6,12.7,25.5,21.4,18,22.4
2020,79.6,16.5,23.8,21.8,17.4,20.4
2021,81.4,17,24.1,22.1,18.2,18.6
